timestamp,sample_idx,site_id,rssi,sensor_state,behavior
2025-12-17T19:25:35.442099,0,1,-28,1,clear
2025-12-17T19:25:37.721860,10,1,-27,1,clear
2025-12-17T19:25:40.694318,22,1,-27,1,clear
2025-12-17T19:25:43.756586,39,1,-26,1,clear
2025-12-17T19:25:46.698559,62,1,-25,1,clear
2025-12-17T19:25:49.613767,86,1,-24,1,clear
2025-12-17T19:25:52.622066,110,1,-32,1,clear
2025-12-17T19:25:55.747838,136,1,-37,1,clear
2025-12-17T19:25:58.744957,161,1,-32,1,clear
2025-12-17T19:26:01.672397,185,1,-32,1,clear
2025-12-17T19:26:04.796003,210,1,-34,1,clear
2025-12-17T19:26:07.744938,234,1,-33,1,clear
2025-12-17T19:26:10.769759,260,1,-34,1,clear
2025-12-17T19:26:13.774672,285,1,-34,1,clear
2025-12-17T19:26:16.703194,309,1,-34,1,clear
2025-12-17T19:26:19.749056,333,1,-26,1,clear
2025-12-17T19:26:22.759149,357,1,-22,1,clear
2025-12-17T19:26:25.715924,381,1,-25,1,clear
2025-12-17T19:26:28.753087,406,1,-26,1,clear
2025-12-17T19:26:31.791428,431,1,-28,1,clear
2025-12-17T19:26:34.723957,455,1,-29,1,clear
2025-12-17T19:26:37.809722,481,1,-29,1,clear
2025-12-17T19:26:40.791645,505,1,-23,1,clear
2025-12-17T19:26:43.753124,529,1,-23,1,clear
2025-12-17T19:26:49.573199,579,1,-26,1,clear
2025-12-17T19:26:52.790536,605,1,-25,1,clear
2025-12-17T19:26:57.658549,645,1,-27,1,clear
2025-12-17T19:27:00.831774,673,1,-26,1,clear
2025-12-17T19:27:03.935002,698,1,-26,110,clear
2025-12-17T19:27:07.201067,724,1,-25,1,clear
2025-12-17T19:27:10.739219,753,1,-30,1,clear
2025-12-17T19:27:13.782743,778,1,-30,1,clear
2025-12-17T19:27:16.778003,801,1,-32,1,clear
2025-12-17T19:27:19.718907,825,1,-29,1,clear
2025-12-17T19:27:22.651486,850,1,-31,1,clear
2025-12-17T19:27:25.756376,877,1,-27,1,clear
2025-12-17T19:27:28.788229,901,1,-34,1,clear
2025-12-17T19:27:31.680720,924,1,-31,1,clear
2025-12-17T19:27:34.755104,951,1,-31,1,clear
2025-12-17T19:27:37.780513,976,1,-31,1,clear
2025-12-17T19:27:40.888857,1000,1,-31,1,clear
2025-12-17T19:27:43.851110,1024,1,-32,1,clear
2025-12-17T19:27:46.709729,1048,1,-28,1,clear
2025-12-17T19:27:49.818353,1074,1,-28,1,clear
2025-12-17T19:27:52.715030,1098,1,-30,1,clear
